,city,price,beds,baths,sqft,url,address
94,Milwaukee,"$91,000",3 beds,1 bath,"1,013 ",https://www.redfin.com/WI/Milwaukee/3018-W-Eggert-Pl-53209/home/90201509,"3018 W Eggert Pl, Milwaukee, WI 53209"
95,Milwaukee,"$109,900",4 beds,2 baths,"2,376 ",https://www.redfin.com/WI/Milwaukee/4611-N-38th-St-53209/home/190939563,"4611 N 38th St, Milwaukee, WI 53209"
96,Milwaukee,"$45,000",2 beds,1 bath,"1,438 ",https://www.redfin.com/WI/Milwaukee/4766-N-22nd-St-53209/home/90207075,"4766 N 22nd St, Milwaukee, WI 53209"
97,Milwaukee,"$120,000",2 beds,1 bath,667 ,https://www.redfin.com/WI/Milwaukee/4436-N-40th-St-53209/home/58003462,"4436 N 40th St, Milwaukee, WI 53209"
98,Milwaukee,"$179,900",4 beds,1 bath,"1,583 ",https://www.redfin.com/WI/Milwaukee/4353-N-18th-St-53209/home/90207247,"4353 N 18th St, Milwaukee, WI 53209"
99,Milwaukee,"$525,000",No Data Available,No Data Available,No Data Available,https://www.redfin.com/WI/Milwaukee/1400-W-Congress-St-53209/home/90351287,"1400 W Congress St, Milwaukee, WI 53209"
100,Milwaukee,"$130,000",3 beds,2 baths,"1,793 ",https://www.redfin.com/WI/Milwaukee/2507-W-Atkinson-Ave-53209/home/190891574,"2507 W Atkinson Ave, Milwaukee, WI 53209"
101,Milwaukee,"$69,900",1 bed,1 bath,580 ,https://www.redfin.com/WI/Milwaukee/9500-N-Green-Bay-Rd-53209/unit-110/home/58030976,"9500 N Green Bay Rd #110, Brown Deer, WI 53209"
102,Milwaukee,"$129,900",4 beds,2 baths,"1,614 ",https://www.redfin.com/WI/Milwaukee/3202-W-Fairmount-Ave-53209/unit-3202A/home/175568654,"3202 W Fairmount Ave Unit 3202A, Milwaukee, WI 53209"
103,Milwaukee,"$98,900",4 beds,1 bath,"1,290 ",https://www.redfin.com/WI/Milwaukee/4028-N-19th-St-53209/home/90351540,"4028 N 19th St, Milwaukee, WI 53209"
104,Milwaukee,"$144,900",2 beds,1 bath,744 ,https://www.redfin.com/WI/Milwaukee/4212-W-Hampton-Ave-53209/home/90202015,"4212 W Hampton Ave, Milwaukee, WI 53209"
105,Milwaukee,"$108,900",3 beds,1 bath,"1,116 ",https://www.redfin.com/WI/Milwaukee/4422-N-30th-St-53209/home/58164788,"4422 N 30th St, Milwaukee, WI 53209"
