,city,price,beds,baths,sqft,url,address,ins_dttm,extract_dttm,delete_dttm,orig_listing_price,list_price_change
82,Milwaukee,"$875,000",2 beds,2.5 baths,"2,053 ",https://www.redfin.com/WI/Milwaukee/311-E-Erie-St-53202/unit-305/home/90253596,"311 E Erie St #305, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$875,000",
83,Milwaukee,"$1,550,000",2 beds,3 baths,"2,698 ",https://www.redfin.com/WI/Milwaukee/1313-N-Franklin-Pl-53202/unit-1604/home/58042299,"1313 N Franklin Pl #1604, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,550,000",
84,Milwaukee,"$800,000",2 beds,2 baths,"1,773 ",https://www.redfin.com/WI/Milwaukee/1300-N-Prospect-Ave-53202/unit-208/home/58033465,"1300 N Prospect Ave #208, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$800,000",
85,Milwaukee,"$799,900",2 beds,2 baths,"1,770 ",https://www.redfin.com/WI/Milwaukee/777-N-Prospect-Ave-53202/unit-South-Tier-4/home/103942443,"777 N Prospect Ave Unit South Tier 4, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$799,900",
86,Milwaukee,"$155,000",1 bed,1 bath,561 ,https://www.redfin.com/WI/Milwaukee/904-E-Pearson-St-53202/unit-323/home/58047717,"904 E Pearson St #323, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$155,000",
87,Milwaukee,"$245,000",1 bed,1 bath,765 ,https://www.redfin.com/WI/Milwaukee/1541-N-Jefferson-St-53202/unit-208/home/58029092,"1541 N Jefferson St #208, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$245,000",
88,Milwaukee,"$479,000",No Data Available,No Data Available,No Data Available,https://www.redfin.com/WI/Milwaukee/1717-N-Astor-St-53202/unit-1719/home/185294791,"1717 N Astor St #1719, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$479,000",
89,Milwaukee,"$379,000",4 beds,3 baths,"2,362 ",https://www.redfin.com/WI/Milwaukee/1715-N-Astor-St-53202/unit-1715A/home/190924360,"1715 N Astor St Unit 1715A, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$379,000",
90,Milwaukee,"$415,000",2 beds,2 baths,"1,328 ",https://www.redfin.com/WI/Milwaukee/1830-E-Kane-Pl-53202/unit-8/home/90365205,"1830 E Kane Pl #8, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$415,000",
91,Milwaukee,"$1,875,000",No Data Available,No Data Available,No Data Available,https://www.redfin.com/WI/Milwaukee/1245-N-Milwaukee-St-53202/home/190870240,"1245 N Milwaukee St, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,875,000",
92,Milwaukee,"$219,900",1 bed,1 bath,887 ,https://www.redfin.com/WI/Milwaukee/1633-N-Prospect-Ave-53202/unit-4E/home/90227244,"1633 N Prospect Ave Unit 4E, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$219,900",
93,Milwaukee,"$349,900",No Data Available,No Data Available,"2,032 ",https://www.redfin.com/WI/Milwaukee/1751-N-Arlington-Pl-53202/unit-1753/home/190759700,"1751 N Arlington Pl #1753, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$349,900",
94,Milwaukee,"$599,000",2 beds,2 baths,"1,826 ",https://www.redfin.com/WI/Milwaukee/1522-N-Prospect-Ave-53202/unit-503/home/90323018,"1522 N Prospect Ave #503, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$599,000",
95,Milwaukee,"$699,900",1 bed,1.5 baths,"2,030 ",https://www.redfin.com/WI/Milwaukee/777-N-Prospect-Ave-53202/unit-NT2/home/58043663,"777 N Prospect Ave Unit NT2, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$699,900",
96,Milwaukee,"$439,900",2 beds,2 baths,"1,433 ",https://www.redfin.com/WI/Milwaukee/1550-E-Royall-Pl-53202/unit-613/home/58040587,"1550 E Royall Pl #613, Milwaukee, WI 53202",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$439,900",
97,Milwaukee,"$489,000",2 beds,2 baths,"1,783 ",https://www.redfin.com/WI/Milwaukee/730-N-Plankinton-Ave-53203/unit-4A/home/58028169,"730 N Plankinton Ave Unit 4A, Milwaukee, WI 53203",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$489,000",
98,Milwaukee,"$1,250,000",2 beds,2.5 baths,"1,909 ",https://www.redfin.com/WI/Milwaukee/1141-N-Dr-Martin-Luther-King-Jr-Dr-53203/unit-3002/home/185367769,"1141 N Martin L King Jr Dr #3002, Milwaukee, WI 53203",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,250,000",
99,Milwaukee,"$1,050,000",3 beds,2.5 baths,"3,120 ",https://www.redfin.com/WI/Milwaukee/1141-N-Dr-Martin-Luther-King-Jr-Dr-53203/unit-2902/home/90317312,"1141 N Martin L King Jr Dr #2902, Milwaukee, WI 53203",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,050,000",
100,Milwaukee,"$695,000",2 beds,2 baths,"1,240 ",https://www.redfin.com/WI/Milwaukee/130-S-Water-St-53204/unit-315/home/90323276,"130 S Water St #315, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$695,000",
101,Milwaukee,"$775,000",2 beds,2 baths,"1,379 ",https://www.redfin.com/WI/Milwaukee/106-W-Seeboth-St-53204/unit-903/home/90317087,"106 W Seeboth St #903, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$775,000",
102,Milwaukee,"$1,200,000",2 beds,2 baths,"1,379 ",https://www.redfin.com/WI/Milwaukee/106-W-Seeboth-St-53204/unit-411/home/58026999,"106 W Seeboth St #411, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$1,200,000",
103,Milwaukee,"$409,900",1 bed,1 bath,789 ,https://www.redfin.com/WI/Milwaukee/106-W-Seeboth-St-53204/unit-609/home/58027005,"106 W Seeboth St #609, Milwaukee, WI 53204",2024-07-20-00-00-25,2024-07-20-00-00-25,,"$409,900",
